"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro"
"818",28001,"MS","Adams",69.85,11341,32297,17851,"Nonmetro"
"819",28003,"MS","Alcorn",92.63,14502,37057,21321,"Nonmetro"
"820",28005,"MS","Amite",17.99,5003,13131,20380,"Nonmetro"
"821",28007,"MS","Attala",26.62,7129,19564,20936,"Nonmetro"
"822",28009,"MS","Benton",21.47,3033,8729,20363,"Metro"
"823",28011,"MS","Bolivar",38.95,12159,34145,17713,"Nonmetro"
"824",28013,"MS","Calhoun",25.51,5797,14962,19099,"Nonmetro"
"825",28015,"MS","Carroll",16.87,3658,10597,22567,"Nonmetro"
"826",28017,"MS","Chickasaw",34.66,6426,17392,19556,"Nonmetro"
"827",28019,"MS","Choctaw",20.44,3164,8547,20589,"Nonmetro"
"828",28021,"MS","Claiborne",19.7,3009,9604,13503,"Nonmetro"
"829",28023,"MS","Clarke",24.19,6258,16732,22422,"Nonmetro"
"830",28025,"MS","Clay",50.32,7755,20634,21076,"Nonmetro"
"831",28027,"MS","Coahoma",47.34,8744,26151,17518,"Nonmetro"
"832",28029,"MS","Copiah",37.89,9623,29449,19434,"Metro"
"833",28031,"MS","Covington",47.29,6794,19568,18353,"Nonmetro"
"834",28033,"MS","DeSoto",338.66,62078,161252,29190,"Metro"
"835",28035,"MS","Forrest",160.69,28033,74934,22042,"Metro"
"836",28037,"MS","Franklin",14.4,3004,8118,22769,"Nonmetro"
"837",28039,"MS","George",47.16,7362,22578,21105,"Nonmetro"
"838",28041,"MS","Greene",20.2,4172,14400,17453,"Nonmetro"
"839",28043,"MS","Grenada",51.9,8224,21906,21668,"Nonmetro"
"840",28045,"MS","Hancock",92.73,19519,43929,26659,"Metro"
"841",28047,"MS","Harrison",325.97,78863,187105,24445,"Metro"
"842",28049,"MS","Hinds",282.02,88705,245285,23114,"Metro"
"843",28051,"MS","Holmes",25.37,6269,19198,13924,"Nonmetro"
"844",28053,"MS","Humphreys",22.4,3171,9375,16604,"Nonmetro"
"845",28055,"MS","Issaquena",3.4,484,1406,18942,"Nonmetro"
"846",28057,"MS","Itawamba",43.92,8706,23401,20629,"Nonmetro"
"847",28059,"MS","Jackson",193.24,51429,139668,25341,"Metro"
"848",28061,"MS","Jasper",25.23,6690,17062,21929,"Nonmetro"
"849",28063,"MS","Jefferson",14.86,2530,7726,13374,"Nonmetro"
"850",28065,"MS","Jefferson Davis",30.57,4839,12487,19233,"Nonmetro"
"851",28067,"MS","Jones",97.53,24774,67761,22836,"Nonmetro"
"852",28069,"MS","Kemper",13.65,3710,10456,15518,"Nonmetro"
"853",28071,"MS","Lafayette",74.96,19317,47351,26154,"Nonmetro"
"854",28073,"MS","Lamar",111.98,22213,55658,28934,"Metro"
"855",28075,"MS","Lauderdale",114.07,29657,80261,23741,"Nonmetro"
"856",28077,"MS","Lawrence",30.02,4793,12929,21809,"Nonmetro"
"857",28079,"MS","Leake",40.83,8168,23805,17960,"Nonmetro"
"858",28081,"MS","Lee",184.26,32267,82910,25467,"Nonmetro"
"859",28083,"MS","Leflore",54.54,10224,32317,16861,"Nonmetro"
"860",28085,"MS","Lincoln",59.49,12827,34869,21892,"Nonmetro"
"861",28087,"MS","Lowndes",118.26,22742,59779,24499,"Nonmetro"
"862",28089,"MS","Madison",133.24,39020,95203,38496,"Metro"
"863",28091,"MS","Marion",49.94,9543,27088,18687,"Nonmetro"
"864",28093,"MS","Marshall",52.6,13074,37144,21352,"Metro"
"865",28095,"MS","Monroe",48.35,14043,36989,23158,"Nonmetro"
"866",28097,"MS","Montgomery",26.84,4619,10925,22913,"Nonmetro"
"867",28099,"MS","Neshoba",52.05,10699,29676,19641,"Nonmetro"
"868",28101,"MS","Newton",37.57,8042,21720,21600,"Nonmetro"
"869",28103,"MS","Noxubee",16.61,4020,11545,17637,"Nonmetro"
"870",28105,"MS","Oktibbeha",104.04,17687,47671,22136,"Nonmetro"
"871",28107,"MS","Panola",50.66,12447,34707,19972,"Nonmetro"
"872",28109,"MS","Pearl River",68.86,20752,55834,23135,"Nonmetro"
"873",28111,"MS","Perry",18.93,4563,12250,21611,"Metro"
"874",28113,"MS","Pike",98.78,14676,40404,17954,"Nonmetro"
"875",28115,"MS","Pontotoc",60.19,10788,29957,20401,"Nonmetro"
"876",28117,"MS","Prentiss",60.91,9399,25276,19693,"Nonmetro"
"877",28119,"MS","Quitman",20.3,3055,8223,15353,"Nonmetro"
"878",28121,"MS","Rankin",182.62,55595,141617,29874,"Metro"
"879",28123,"MS","Scott",46.4,10435,28264,21640,"Nonmetro"
"880",28125,"MS","Sharkey",11.39,1755,4916,17877,"Nonmetro"
"881",28127,"MS","Simpson",46.68,9361,27503,20495,"Metro"
"882",28129,"MS","Smith",25.92,5872,16491,23164,"Nonmetro"
"883",28131,"MS","Stone",39.93,6135,17786,21931,"Nonmetro"
"884",28133,"MS","Sunflower",42.21,8389,29450,15464,"Nonmetro"
"885",28135,"MS","Tallahatchie",23.83,4253,15378,14943,"Nonmetro"
"886",28137,"MS","Tate",71.37,10264,28886,23542,"Metro"
"887",28139,"MS","Tippah",48.56,7983,22232,20180,"Nonmetro"
"888",28141,"MS","Tishomingo",46.18,7635,19593,20037,"Nonmetro"
"889",28143,"MS","Tunica",23.71,3943,10778,19115,"Metro"
"890",28145,"MS","Union",65.29,9951,27134,20088,"Nonmetro"
"891",28147,"MS","Walthall",38.23,5683,15443,20337,"Nonmetro"
"892",28149,"MS","Warren",82.88,18766,48773,23793,"Nonmetro"
"893",28151,"MS","Washington",70.56,18299,51137,19884,"Nonmetro"
"894",28153,"MS","Wayne",25.59,7734,20747,22611,"Nonmetro"
"895",28155,"MS","Webster",24.36,3787,10253,21109,"Nonmetro"
"896",28157,"MS","Wilkinson",14.57,2898,9878,13231,"Nonmetro"
"897",28159,"MS","Winston",31.61,7396,19198,24538,"Nonmetro"
"898",28161,"MS","Yalobusha",27.14,5161,12678,21140,"Nonmetro"
"899",28163,"MS","Yazoo",30.41,8689,28065,18866,"Metro"
