"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro","Date","Cases","Deaths","DateAsInteger","Impact"
"53",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-09,59,1,18361,"Low"
"54",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-14,87,2,18366,"Low"
"55",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-16,102,2,18368,"Low"
"56",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-17,103,2,18369,"Low"
"57",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-03-27,5,0,18348,"Low"
"58",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-13,78,1,18365,"Low"
"59",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-15,98,2,18367,"Low"
"60",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-07,42,1,18359,"Low"
"61",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-14,11,0,18366,"Low"
"62",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-19,20,0,18371,"Low"
"63",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-18,18,0,18370,"Low"
"64",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-17,15,0,18369,"Low"
"65",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-16,14,0,18368,"Low"
"66",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-24,32,0,18376,"Low"
"67",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-15,13,0,18367,"Low"
"68",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-20,22,0,18372,"Low"
"69",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-13,10,0,18365,"Low"
"70",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-23,30,0,18375,"Low"
"71",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-09,7,0,18361,"Low"
"72",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-12,10,0,18364,"Low"
"73",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-11,10,0,18363,"Low"
"74",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-10,9,0,18362,"Low"
"75",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-22,29,0,18374,"Low"
"76",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro",2020-04-21,28,0,18373,"Low"
"77",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-07,8,0,18359,"Low"
"78",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-09,11,0,18361,"Low"
"79",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-10,11,0,18362,"Low"
"80",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro",2020-04-16,24,0,18368,"Low"
